school_number,name,uniform_type,slacks_skirt_choice,quote,source
410230,府中西,ブレザー,1,紺・臙脂（えんじ）・ブルーを基調とし、伝統を引き継いだデザインです。,https://www.metro.ed.jp/fuchunishi-h/school_life/symbols.html
410240,国立,制服なし（服装自由）,,当校には制服はありません。,https://www.metro.ed.jp/kunitachi-h/school_life/symbols.html
410250,永山,ブレザー,1,校の服装に関する規定は、次のとおりです。,https://www.metro.ed.jp/nagayama-h/school_life/symbols.html
410410,若葉総合,ブレザー,1,総合学科は社会との接点も多いため、落ち着いて清潔感のある制服を採用しています。,https://www.metro.ed.jp/wakabasogo-h/school_life/symbols.html
410710,府中工科,制服あり（形は公式サイト参照）,,,https://www.metro.ed.jp/fuchukoka-h/school_life/symbols.html
410810,農業,制服あり（形は公式サイト参照）,,実習服 向かって左から、食物科、緑地計画科、都市園芸科、食品科学科の実習服です。,https://www.metro.ed.jp/nogyo-h/school_life/symbols.html
411010,大島,制服あり（形は公式サイト参照）,,,https://www.metro.ed.jp/oshima-h/school_life/symbols.html
411030,新島,ブレザー,,夏服 男女：ワイシャツ（白）、えんじ色のネクタイ 男女：グレーのスラックス・スカート 冬服 男女：紺のブレザー、えんじ色のネクタイ 、ワイシャツ 男女：グレーのスラックス・スカート。,https://www.metro.ed.jp/niijima-h/school_life/symbols.html
412010,三宅,ブレザー,,本校指定の制服を着用すること。,https://www.metro.ed.jp/miyake-h/school_life/symbols.html
413010,八丈,ブレザー,1,チャコールグレーのブレザーに千鳥格子柄のスラックス・スカートです。,https://www.metro.ed.jp/hachijo-h/school_life/symbols.html
414010,小笠原,制服あり（形は公式サイト参照）,,校章 昭和48年10月17日、校章選定委員会（委員3名）が設けられ、創立5周年記念日に向けて活動を開始。,https://www.metro.ed.jp/ogasawara-h/school_life/symbols.html
